[43, 180, 187.0, 1]
[49, 180, 204.0, 1]
[47, 163, 160.0, 0]
[30, 170, 190.0, 1]
[52, 178, 177.0, 1]
[43, 205, 199, 1]
[35, 180, 197.0, 1]
[50, 160, 108.0, 0]
[40, 160, 118.0, 0]
[37, 185, 196.0, 1]
[35, 175, 217.0, 1]
[34, 173, 248.0, 1]
[53, 178, 137.0, 0]
[25, 168, 146.0, 0]
[45, 183, 190.0, 1]
[48, 152, 105.0, 0]
[44, 170, 150.0, 0]
[50, 185, 220.0, 1]
[37, 183, 200.0, 1]
[34, 205, 173, 1]
[26, 188, 195.0, 1]
[45, 160, 128.0, 0]
[30, 165, 148.0, 0]
[31, 165, 149.0, 0]
[29, 175, 210.0, 0]
[28, 157, 118.0, 0]
[34, 163, 144.0, 0]
[35, 173, 130.0, 0]
[31, 183, 200.0, 1]
[47, 152, 134.0, 0]
[30, 180, 198.0, 1]
[43, 157, 120.0, 0]
[36, 173, 163.0, 0]
[29, 175, 185.0, 1]
[42, 175, 160.0, 1]
[42, 178, 215.0, 1]
[34, 188, 200.0, 1]
[38, 168, 148.0, 0]
[29, 178, 185.0, 1]
[48, 180, 185.0, 1]
[32, 188, 270.0, 1]
[61, 183, 243.0, 1]
[40, 173, 194.0, 1]
[39, 165, 140.0, 0]
[32, 152, 117.0, 0]
[30, 157, 133.0, 0]
[37, 173, 189.0, 1]
[46, 165, 175.0, 1]
[26, 168, 147.0, 1]
[26, 165, 188.0, 0]
[36, 205, 112.0, 0]
[29, 168, 155.0, 1]
[30, 157, 108.0, 0]
[50, 175, 145.0, 0]
[33, 183, 280.0, 1]
[42, 205, 350.0, 1]
[39, 180, 200, 1]
[50, 168, 130.0, 0]
[50, 180, 220.0, 1]
[45, 180, 228.0, 1]
[47, 205, 193, 0]
[37, 168, 124.0, 0]
[31, 175, 173.0, 1]
[49, 178, 182.0, 1]
[49, 180, 133.0, 1]
[38, 175, 205.0, 1]
[39, 185, 245.0, 1]
[39, 175, 220.0, 1]
[37, 183, 223.0, 1]
[43, 183, 180.0, 1]
[28, 173, 160.0, 0]
[39, 180, 199.0, 0]
[31, 168, 124.0, 0]
[33, 175, 215.0, 1]
[29, 205, 147, 0]
[40, 175, 270.0, 1]
[32, 188, 198.0, 1]
[36, 175, 170.0, 1]
[43, 173, 165.0, 1]
[34, 175, 222.0, 1]
[28, 183, 248.0, 1]
[37, 183, 170.0, 0]
[30, 188, 207.0, 1]
[38, 170, 152.0, 0]
[44, 205, 139, 1]
[29, 180, 193.0, 1]
[41, 178, 192.0, 1]
[38, 185, 230.0, 1]
[43, 175, 172.0, 1]
[32, 188, 215.0, 1]
[31, 165, 149.0, 0]
[52, 168, 130.0, 0]
[46, 168, 124.0, 0]
[42, 175, 215.0, 1]
[49, 205, 120, 0]
[40, 175, 270.0, 1]
[32, 188, 198.0, 1]
[28, 175, 170.0, 1]
[47, 173, 165.0, 1]
[46, 175, 222.0, 1]
[33, 183, 248.0, 1]
[34, 183, 170.0, 0]
[45, 188, 207.0, 1]
[36, 170, 152.0, 0]
[30, 205, 197, 1]
[46, 180, 193.0, 1]
[40, 178, 192.0, 1]
[49, 185, 230.0, 1]
[29, 175, 172.0, 1]
[32, 188, 215.0, 1]
[44, 165, 149.0, 0]
[52, 168, 130.0, 0]
[34, 183, 193.0, 1]
[44, 173, 167.0, 1]
[41, 180, 217.0, 1]
[40, 170, 155.0, 0]
[44, 165, 135.0, 0]
[36, 163, 110.0, 0]
[38, 173, 184.0, 1]
[43, 173, 150.0, 0]
